Time;Type;Volume;Symbol;Price;Time;Price;Commission;Swap;Profit
2019.11.01 11:43:57;Balance;;;;;;;;-2038.79
2019.10.31 11:30:00;Sell;8;SBRF-12.19;23816.5;2019.11.01 11:30:01;23634;-18.88;;1460
2019.11.01 11:00:00;Sell;4;RTS-12.19;141520;2019.11.01 11:09:10;141970;-16;;-2306.24
2019.10.31 11:00:00;Sell;12;Si-12.19;64324;2019.11.01 11:00:00;64245;-15.84;;2716
2019.11.01 09:50:02;Correction;;;;;;;;-728.28
2019.10.30 11:30:00;Buy;4;RTS-12.19;141900;2019.10.31 19:32:20;141062.5;-31.92;;-4313.51
2019.10.31 18:57:16;Correction;;;;;;;;903.73
2019.10.31 11:44:24;Balance;;;;;;;;-206.3
2019.10.30 11:30:07;Buy;8;ROSN-12.19;43516.375;2019.10.31 11:30:16;43622.5;-22.96;;849
2019.10.31 11:17:46;Balance;;;;;;;;-11.84
2019.10.31 11:00:00;Buy;4;SBRF-12.19;24382;2019.10.31 11:02:43;24236.75;-6.4;;-581
2019.10.31 09:50:02;Correction;;;;;;;;-727.03
2019.10.30 21:35:50;Sell;4;GOLD-12.19;1489.4;2019.10.30 22:25:24;1500.8;-16.92;;-2919.76
2019.10.30 15:04:35;Buy;4;GOLD-12.19;1500.7;2019.10.30 21:35:50;1489.45;-33.76;;-2881.36
2019.10.30 18:51:39;Correction;;;;;;;;157.43
2019.10.30 11:00:00;Sell;4;Si-12.19;64246;2019.10.30 16:30:35;64377;-3.96;;-524
2019.10.30 15:41:56;Balance;;;;;;;;726.99
2019.10.30 10:15:23;Buy;4;BR-12.19;61.13;2019.10.30 15:16:52;61.04;-6.88;;-229.68
2019.10.29 13:37:55;Sell;4;GOLD-12.19;1494.9;2019.10.30 15:04:35;1500.7;-33.68;;-1478.68
2019.10.30 12:40:43;Balance;;;;;;;;-5.92
2019.10.30 11:00:00;Sell;8;SBRF-12.19;24155;2019.10.30 12:25:26;24265.75;-12.8;;-886
2019.10.30 11:46:59;Balance;;;;;;;;-622.62
2019.10.30 11:14:52;Balance;;;;;;;;-125.19
2019.10.29 11:31:47;Buy;8;ROSN-12.19;42946.875;2019.10.30 11:12:19;43097.75;-34;;1207
2019.10.30 11:00:00;Sell;4;RTS-12.19;141540;2019.10.30 11:09:01;141720;-15.92;;-919.92
2019.10.30 10:27:55;Balance;;;;;;;;-71.08
2019.10.29 19:00:00;Buy;4;BR-11.19;61.6975;2019.10.30 10:13:49;61.45;-6.92;;-632.44
2019.10.30 09:50:02;Correction;;;;;;;;-178.01
2019.10.28 18:06:36;Sell;4;BR-11.19;61.64;2019.10.29 19:00:00;61.69;-13.84;;-124.52
2019.10.29 11:30:00;Sell;4;Si-12.19;64279;2019.10.29 12:04:48;64308;-3.96;;-116
2019.10.29 11:00:00;Buy;8;RTS-12.19;140880;2019.10.29 11:44:45;140500;-31.6;;-3877.76
2019.10.25 11:00:00;Sell;20;SBRF-12.19;24172.55;2019.10.29 11:35:01;24042.3;-57.36;;2605.04
2019.10.25 11:30:00;Sell;8;Si-12.19;64340.625;2019.10.29 11:30:00;64287;-11.88;;429
2019.10.28 11:00:00;Sell;8;ROSN-12.19;42615.5;2019.10.29 11:00:40;42553.625;-22.4;;495
2019.10.28 11:00:00;Sell;4;RTS-12.19;141420;2019.10.29 11:00:00;140755;-31.72;;3401.4
2019.10.29 09:50:02;Correction;;;;;;;;-29.6
2019.10.28 18:57:10;Correction;;;;;;;;-0.04
2019.10.25 18:22:06;Buy;4;BR-11.19;61.75;2019.10.28 18:06:36;61.64;-6.92;;-280.16
2019.10.24 16:33:53;Buy;4;GOLD-12.19;1502.2;2019.10.28 15:42:41;1505.8;-33.8;;929.08
2019.10.25 11:00:23;Sell;8;ROSN-12.19;42408;2019.10.28 10:04:54;42744.75;-33.6;;-2694
2019.10.28 09:50:02;Correction;;;;;;;;-38.48
2019.10.25 18:51:11;Correction;;;;;;;;-0.04
2019.10.25 15:57:00;Sell;4;BR-11.19;61.26;2019.10.25 18:22:06;61.75;-6.96;;-1253.2
2019.10.25 11:00:00;Sell;4;RTS-12.19;140820;2019.10.25 18:05:00;141190;-15.84;;-1892.56
2019.10.22 16:17:27;Buy;4;BR-11.19;59.59;2019.10.25 15:57:00;61.26;-13.56;;4270.32
